Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1894,385.2437027,372.0343075,11.38118971,1.828015758,0.000189725,0,0,0.241349984
1895,408.0892026,392.9196388,13.24738034,1.921985327,0.000198101,0,0,0.254162731
1896,421.5777492,405.3606895,14.34785809,1.86898576,0.000215845,0,0,0.261014316
1897,441.455458,424.3106682,15.15555502,1.988985433,0.000249333,0,0,0.271699034
1898,465.6006764,447.687794,15.60360764,2.309,0.000274783,0,0,0.28484846
1899,508.4976488,489.1373266,16.38397005,2.976,0.000352133,0,0,0.309223613
1900,535.3413592,513.8208548,18.37012374,3.15,0.000380628,0,0,0.323580352
1901,552.3918699,528.4804629,20.40095222,3.51,0.000454754,0,0,0.331795201
1902,566.2664722,540.4735921,22.0542911,3.738,0.000588977,0,0,0.337876467
1903,617.3706789,590.0519383,23.35304507,3.965,0.000695537,0,0,0.365821014
1904,624.3202319,593.4572709,26.22275026,4.138983002,0.000750166,0,0.50047762,0.367294785
1905,665.1370311,633.4303945,26.47916218,4.686,0.000958571,0,0.54051583,0.388444994
1906,694.4557141,661.9645659,26.71636664,5.193,0.001227428,0,0.580554039,0.402556487
1907,791.5733286,752.9929168,32.59362988,5.42498347,0.001263526,0,0.560534934,0.455423949
1908,760.2856623,719.2328534,35.15083428,5.37,0.031496997,0,0.50047762,0.434157703
1909,791.8032846,748.0375203,36.67359225,6.41999943,0.031561309,0,0.640611354,0.44880928
1910,830.602047,783.7941578,39.33032312,6.8,0.036954679,0,0.640611354,0.46737202
1911,843.367392,793.9762355,41.71114047,7.019010214,0.040413579,0,0.620592249,0.471160553
1912,886.0472387,834.731906,42.8984952,7.728,0.048226107,0,0.640611354,0.491503009
1913,959.7524491,901.2914768,49.66701287,8.078,0.055328951,0,0.660630459,0.528641783
1914,870.5748642,810.919148,50.77008686,8.225017195,0.040019905,0,0.620592249,0.476144329
1915,857.0623725,793.7372725,53.92373486,8.69698414,0.043750611,0,0.660630459,0.465430105
1916,925.7568892,855.756442,58.73623447,10.47402011,0.049485734,0,0.740706878,0.499126243
1917,968.3783625,891.2685911,65.33267575,11.05598363,0.040462424,0,0.680649563,0.518292426
1918,955.154564,877.6999755,66.87439579,9.967000579,0.03263815,0,0.580554039,0.507397456
1919,828.0129297,742.4001031,74.62121096,10.35699632,0.034046131,0,0.600573144,0.436484905
1920,965.5669375,854.9714088,98.53726117,11.37701789,0.040638353,0,0.640611354,0.50497433
1921,847.7576769,729.285551,108.4260133,9.550307431,0.035365712,0,0.46043941,0.439738437
1922,888.2267039,756.9409107,119.6263196,10.94623143,0.052611624,0,0.660630459,0.456843521
1923,1007.286494,859.6375257,132.515777,14.33572771,0.056756628,0,0.740706878,0.513592165
1924,1010.58326,861.3392392,132.14826,16.29609262,0.058960973,0,0.740706878,0.510710994
1925,1020.91526,860.7186642,137.9717603,17.44607897,3.93795417,0,0.840802402,0.51128293
1926,1003.659234,841.7124678,138.2316003,18.87135714,4.023025169,0,0.820783297,0.498048292
1927,1095.236732,918.2277797,151.2449902,20.74703601,4.216161643,0,0.800764192,0.538475169
1928,1090.696433,902.7198217,154.914354,22.54997096,9.711522036,0,0.800764192,0.531259134
1929,1170.363376,961.7546876,169.6819173,28.0825042,10.06352155,0,0.780745087,0.564746213
1930,1080.266364,877.7951752,163.6996188,28.44544659,9.705530809,0,0.620592249,0.516405973
1931,965.9717082,773.2491214,158.4388686,25.351392,8.431848545,0,0.50047762,0.457378224
1932,871.3404828,688.4140119,151.7493319,24.07714608,6.739649078,0,0.360343886,0.408525209
1933,917.7629401,720.1905905,165.8320151,24.81364591,6.506287434,0,0.420401201,0.425984059
1934,997.8676912,786.1440956,175.6760677,27.8248087,7.782298906,0,0.440420306,0.458480452
1935,1046.872967,818.3192711,188.8673892,30.39642995,8.749360657,0,0.54051583,0.476123548
1936,1148.452716,897.2882896,205.6513882,34.2602838,10.57210523,0,0.680649563,0.517067738
1937,1227.269483,945.9431509,231.0825488,38.36663782,11.13643815,0,0.740706878,0.547079276
1938,1154.372056,881.6939298,224.5843065,36.9798656,10.51338091,0,0.600573144,0.509606071
1939,1220.014923,937.6967093,233.2327864,38.57231545,9.732366292,0,0.780745087,0.533541982
1940,1333.150526,1035.868345,245.9244181,41.8986984,8.578223663,0,0.880840611,0.57778474
1941,1364.381203,1060.561002,249.0193115,41.88406646,11.81577193,0,1.101050764,0.586457234
1942,1359.859185,1067.289425,235.6757852,45.31903461,10.47388887,0,1.101050764,0.580208843
1943,1385.172817,1071.688679,252.8955943,49.91809353,9.489322671,0,1.181127183,0.586978143
1944,1408.975588,1055.970052,291.7084777,53.93035646,6.185574655,0,1.181127183,0.593133916
1945,1170.663944,818.7248451,285.4421116,59.14257799,6.273377519,0,1.081031659,0.489537793
1946,1257.79121,883.1700599,302.5408708,61.09036872,9.90887918,0,1.081031659,0.522292379
1947,1409.717655,988.8273263,340.2194039,67.65550698,11.77423335,0,1.241184498,0.580913717
1948,1486.868111,1020.915161,374.0861198,76.45303132,14.09253771,0,1.321260917,0.607477876
1949,1420.315318,968.1135132,353.1772907,82.00219296,15.88123194,0,1.141088974,0.574660696
1950,1618.516332,1059.414586,423.0036993,96.38412015,18.25862761,20.094,1.361299127,0.647582116
1951,1741.656336,1115.141651,468.9480588,113.5866911,20.6784861,21.80001635,1.50143286,0.684847442
1952,1765.136577,1100.31885,496.0008052,122.0198124,22.03773357,23.29798146,1.461394651,0.681448638
1953,1815.197933,1108.730846,528.5543317,129.5097821,24.43931822,22.20197331,1.761681223,0.687502371
1954,1853.037407,1106.657383,560.2946747,136.831258,26.51028315,21.1823175,1.561490175,0.688354989
1955,2031.630949,1197.34262,627.2824234,149.3531167,29.32196222,26.42901175,1.901814956,0.739831601
1956,2163.213024,1257.897342,681.8075842,160.2703878,31.79246722,29.52340855,1.921834061,0.772299533
1957,2234.073358,1280.589158,712.6740022,176.4928863,33.42018659,29.035348,1.861776747,0.781727585
1958,2297.267418,1299.618333,741.9719455,192.6393981,35.39684375,25.95929243,1.681604803,0.787785412
1959,2416.672802,1352.115559,790.6870233,206.9414871,39.64104634,25.02552734,2.262158843,0.813614503
1960,2561.956989,1407.645889,851.7455055,227.7726836,42.95683022,24.32866062,7.507420512,0.848545515
1961,2569.60757,1349.158735,903.409428,240.7342072,44.79945524,23.53124898,7.974495124,0.837450197
1962,2660.285798,1344.876224,971.4390824,264.1193443,48.13503821,23.45272781,8.26338167,0.850832212
1963,2802.066652,1393.859266,1038.361797,285.7184209,50.75992776,24.7014704,8.665769979,0.876802318
1964,2954.275682,1422.628357,1120.390411,314.6609167,56.26512333,30.78380656,9.547066853,0.904219064
1965,3086.954269,1443.381792,1203.61317,335.8621413,59.07129969,35.60120403,9.424662207,0.925037663
1966,3237.621813,1460.022168,1298.965913,365.6960649,63.59623999,39.4558096,9.885617862,0.950447869
1967,3339.893361,1435.975674,1385.112259,391.1104871,65.47262747,52.06957704,10.15273627,0.960996453
1968,3522.184244,1451.734926,1508.946629,425.6730234,69.67426395,55.62234116,10.53306172,0.993056702
1969,3755.945767,1505.924119,1631.84904,466.3280406,73.85803692,66.60339287,11.38313656,1.0373663
1970,4066.354923,1555.183816,1855.834178,488.7574305,78.67153527,75.80374339,12.10421968,1.100385765
1971,4231.401397,1555.548845,1965.509188,527.6938417,82.72649241,87.73377857,12.18925089,1.122339085
1972,4428.110439,1553.192893,2119.308152,560.1087208,87.70223191,94.67826791,13.1201739,1.151713853
1973,4662.962036,1600.045342,2244.520872,601.6695737,92.87251592,109.7633704,14.09036122,1.189454817
1974,4642.759739,1599.593357,2212.336147,616.7152415,92.99919882,106.8178477,14.29794698,1.161992215
1975,4654.135542,1647.220524,2193.550856,615.7860294,92.80559546,91.89886178,12.87367619,1.143680386
1976,4909.692158,1708.671692,2330.598321,651.627432,97.22257072,107.9212848,13.65085769,1.185198597
1977,5048.75388,1750.272442,2412.588132,666.4451627,101.770326,104.1156338,13.56218322,1.197586894
1978,5204.500693,1780.016858,2499.142518,696.272051,108.6381515,106.4912124,13.93990218,1.213267129
1979,5351.806848,1863.756385,2531.073286,734.1365859,110.2254675,98.29638093,14.31874327,1.225908889
1980,5318.920417,1912.94241,2442.577813,752.9941852,110.8813859,86.36895396,13.15567012,1.196874706
1981,5191.840824,1907.583701,2333.008978,762.8929926,110.8849875,64.73221946,12.73794563,1.147462558
1982,5150.408817,1940.945449,2276.857069,745.6855856,110.3384157,64.29700234,12.28529544,1.117713916
1983,5183.381668,1991.806817,2253.781528,753.6880094,112.8398557,58.09171507,13.17374325,1.104754808
1984,5362.391217,2088.158029,2272.118465,821.9247168,114.9637516,50.96965292,14.25660175,1.122817269
1985,5543.641273,2238.526435,2271.624775,852.1591771,116.2044682,49.684849,15.44156897,1.14026089
1986,5626.354583,2271.059923,2339.785052,831.5784751,120.7241573,46.49503584,16.71193984,1.136622746
1987,5799.69285,2346.73286,2359.272527,902.9691068,125.2879587,44.66947934,20.76091786,1.150507972
1988,6027.600986,2427.382718,2446.040668,946.3488235,131.7974632,50.88018246,25.15113092,1.174445777
1989,6109.890141,2426.940586,2488.56667,993.8707267,134.6163844,41.42174826,24.47402516,1.169647013
1990,6203.3265,2375.1596,2522.936463,1038.797016,134.9261016,70.63154109,60.87577894,1.166877594
1991,6328.084455,2351.641962,2648.378186,1055.698047,138.7261682,74.79287854,58.8472138,1.170513626
1992,6148.518568,2295.339897,2513.348794,1070.361449,144.4792878,65.98189744,59.00724256,1.119401048
1993,6210.640553,2322.865613,2515.699655,1098.555138,150.7117289,63.8070896,59.001328,1.11353018
1994,6275.367603,2336.240297,2524.810187,1108.493482,160.87292,85.88722959,59.0634887,1.108579605
1995,6422.511737,2402.770508,2548.23442,1151.252991,170.1682653,89.06713477,61.01841809,1.118277264
1996,6620.678889,2463.172975,2625.431112,1202.158092,173.6822937,95.63560134,60.59881572,1.136568884
1997,6659.908762,2450.231706,2665.016139,1206.536268,180.7751098,96.28072511,61.06881359,1.12755945
1998,6633.126996,2384.187526,2697.434818,1219.314803,180.1514027,91.83755446,60.20089236,1.10786384
1999,6783.22262,2418.879102,2766.217838,1259.170943,189.0502417,90.05811491,59.84638007,1.117912433
2000,6962.487117,2511.563472,2803.195343,1296.362005,197.5980906,94.72682992,59.04137599,1.132314443
2001,7015.909784,2526.443049,2824.367533,1308.55356,206.7024463,91.61675479,58.22644035,1.126014233
2002,7171.634478,2642.235059,2819.927314,1347.533577,214.3053741,88.60004472,59.03310957,1.136117185
2003,7551.716646,2870.845792,2893.905996,1396.916621,235.6914681,94.02929238,60.32747726,1.181081746
2004,7814.548562,2967.374746,3001.847972,1442.289518,246.3412929,93.49395062,63.20108208,1.206740034
2005,8082.531141,3151.59315,3031.106731,1474.491941,264.2718434,94.9475618,66.11991367,1.232435817
2006,8359.278412,3328.081478,3062.501954,1516.647649,288.1644921,94.84306033,69.03977824,1.258659018
2007,8606.616821,3489.266552,3071.19089,1572.125181,309.4967059,93.68182079,70.85567068,1.279613837
2008,8753.875153,3603.095752,3057.343122,1617.555061,313.5884209,91.35437309,70.938424,1.285142794
2009,8608.60315,3560.323548,2990.32001,1578.573899,322.6084729,90.17400927,66.60321236,1.247930037
2010,9103.685437,3808.444629,3090.415849,1699.764457,344.7442613,93.13364354,67.18259718,1.303206796
2011,9417.177434,4022.352482,3100.819834,1750.009512,370.8635737,98.0596297,75.07240208,1.331402579
2012,9552.407299,4068.500896,3137.11057,1787.700948,380.6667379,102.9102878,75.5178598,1.333818796
2013,9634.731399,4094.298141,3159.897834,1797.994226,397.0055296,105.1519506,80.38371787,1.328819713
2014,9675.244199,4098.784964,3167.676758,1809.831093,410.0647491,105.5402948,83.34634129,1.31833036
2015,9662.908562,4003.18894,3229.167101,1846.823156,396.0580085,104.804857,82.86649881,1.301121882
2016,9666.117925,3912.6993,3264.997312,1897.557361,406.7683646,102.0825965,82.01299029,1.286504434
2017,9822.570381,3961.002772,3315.887523,1945.359594,411.9794961,105.6983826,82.64261367,1.292473674
2018,10024.67974,4024.630213,3343.119352,2038.817233,424.2662379,111.1077274,82.73897404,1.304653037
2019,10126.71339,4010.624798,3387.545866,2083.453068,442.9913434,118.7945521,83.30376116,1.304156761
2020,9586.933986,3893.800377,2991.454603,2064.563556,447.1262311,109.4588311,80.53038763,1.222674608
2021,10095.99789,4130.622674,3147.099151,2162.385427,462.9662763,110.6524839,82.27187968,1.276472517
2022,10178.4488,4144.641188,3250.440761,2154.118126,436.9878675,109.992605,82.26824989,1.276277691
,10314.29277,4203.389608,3332.105612,2156.140349,428.3148699,112.15599,82.1863405,1.282025294
